"JTS" "ING" "EDU" "DIS" "SEM" "EMP" "PAS" "IPR" "zona"
"275" 919 48 7 5 29 3 92.86 1387.09 "D"
"276" 922 42 9 2 36 2 93.95 702.92 "A"
"277" 924 49 7 5 24 5 85.71 100.11 "C"
"278" 928 40 10 7 23 6 89.51 804.22 "A"
"279" 929 44 8 5 53 4 90.52 934.15 "C"
"280" 930 40 7 6 47 4 85.92 1496.72 "D"
"281" 930 42 8 3 47 3 94.3 1272.65 "C"
"282" 932 45 9 5 29 7 92.47 1003.16 "B"
"283" 934 43 7 3 21 6 90.65 1442.08 "A"
"284" 940 43 7 6 49 5 88.19 1218.16 "D"
"285" 941 44 8 5 44 2 88.76 926.14 "A"
"286" 950 45 7 4 33 7 88.26 1295.3 "D"
"287" 952 44 9 4 50 7 89.28 748.75 "B"
"288" 954 49 8 5 37 4 87.08 742.53 "C"
"289" 955 49 9 2 49 2 92.36 1076.21 "D"
"290" 961 43 5 5 26 3 87.02 1303.61 "A"
"291" 964 41 9 4 45 6 91.04 1322.36 "C"
"292" 966 46 7 5 21 3 88.79 1465.32 "B"
"293" 966 47 7 6 21 3 94.13 612.49 "A"
"294" 973 44 9 5 58 4 85.92 270.84 "B"
"295" 976 46 5 5 36 7 94.52 817.96 "B"
"296" 984 39 6 5 23 5 85.67 680.9 "B"
"297" 986 41 6 5 37 3 93.61 1600.52 "A"
"298" 986 45 8 5 42 4 90.35 1113.04 "C"
"299" 986 39 8 2 45 6 86.22 884.93 "D"
"300" 988 42 7 3 26 5 92.29 602.85 "B"
